seed,split,fold,n_train,n_valid,n_test,test_pos_rate,acc,auroc,aupr,f1
47,random,4,9482,0,2370,0.5,0.9308016877637131,0.9805237764603251,0.9798869288690599,0.9307432432432433
48,random,0,9481,0,2371,0.5002108814846057,0.9287220582032898,0.9778847453767939,0.9787101907191754,0.9287220582032898
48,random,1,9481,0,2371,0.49978911851539437,0.9299873471109237,0.980567236607111,0.9801104831623514,0.9294817332200509
48,random,2,9482,0,2370,0.5,0.9232067510548523,0.9775142872402927,0.9777145468380591,0.9239766081871345
48,random,3,9482,0,2370,0.5,0.929957805907173,0.9801356620199754,0.9807289911768594,0.9300758213984835
48,random,4,9482,0,2370,0.5,0.929535864978903,0.9799177482241094,0.9783805150989704,0.930154746967796
49,random,0,9481,0,2371,0.5002108814846057,0.9240826655419654,0.9795259034730079,0.979086665703967,0.923534409515718
49,random,1,9481,0,2371,0.49978911851539437,0.924926191480388,0.9784119936530977,0.9777485749458065,0.9253355704697986
49,random,2,9482,0,2370,0.5,0.9354430379746835,0.9823269063006285,0.9799399535312271,0.9357412851742966
49,random,3,9482,0,2370,0.5,0.9308016877637131,0.9797521764674465,0.9804920000651547,0.9312657166806371
49,random,4,9482,0,2370,0.5,0.9236286919831224,0.9817707276255586,0.9829383367293716,0.9234024545069827
50,random,0,9481,0,2371,0.5002108814846057,0.9325179249261915,0.9820194818593863,0.9832500036572343,0.9327165685449956
50,random,1,9481,0,2371,0.49978911851539437,0.9261914803880219,0.980582890402089,0.981607832222403,0.9269311064718163
50,random,2,9482,0,2370,0.5,0.9215189873417722,0.9797019708380068,0.9786351370450851,0.9211864406779662
50,random,3,9482,0,2370,0.5,0.9291139240506329,0.9792782495682673,0.9790737432002979,0.929471032745592
50,random,4,9482,0,2370,0.5,0.9248945147679325,0.9816019512542508,0.982534638241306,0.9236706689536878
51,random,0,9481,0,2371,0.5002108814846057,0.9270350063264445,0.9811450039490255,0.9813376656526557,0.9281262982966348
51,random,1,9481,0,2371,0.49978911851539437,0.9257697174188106,0.9787321849140109,0.9783552720462318,0.9262981574539364
51,random,2,9482,0,2370,0.5,0.9185654008438818,0.9731075860350016,0.9717847754822249,0.9187368421052631
51,random,3,9482,0,2370,0.5,0.9227848101265823,0.9778411579340917,0.9785029432476315,0.9235908141962422
51,random,4,9482,0,2370,0.5,0.9232067510548523,0.9763292919581975,0.9763409710220081,0.9231418918918919
