seed,split,fold,n_train,n_valid,n_test,test_pos_rate,acc,auroc,aupr,f1,val_acc,val_auroc,val_aupr,val_f1,test_categories
44,disease_area,9,7124,1413,1019,0.5220804710500491,0.8321884200196271,0.9291658303870558,0.9228990886148031,0.8308605341246291,0.8832271762208068,0.9596655982687871,0.9491752802075766,0.853852967227635,C06|C07|C09|C25|C26|F01|F03
45,disease_area,0,6568,1647,1242,0.5877616747181964,0.8341384863123994,0.9518514554794519,0.9618952074136167,0.8446455505279035,0.7601700060716454,0.9177788185086052,0.9350964835459695,0.7694103911266784,C06|C17
45,disease_area,1,7513,931,1013,0.6179664363277394,0.7778874629812438,0.9319538351041434,0.9465210080825217,0.7937671860678277,0.8464017185821697,0.9555965272591487,0.9597724180824494,0.8464017185821697,C14
45,disease_area,2,7040,1166,1251,0.5123900879296562,0.8385291766586731,0.931403288918442,0.9295100278496942,0.8299663299663299,0.8704974271012007,0.9598685761433287,0.9539917943523764,0.8560533841754051,A10|C08|C09|C16|C19|C26|F03
45,disease_area,3,6968,1292,1197,0.556390977443609,0.8262322472848789,0.9483014087533861,0.948871558523969,0.824620573355818,0.7979876160990712,0.9418543932808214,0.9481185818023297,0.7978311386522076,C06|C23
45,disease_area,4,7165,1200,1092,0.5998168498168498,0.7472527472527473,0.9085122364490716,0.9210905666066475,0.7481751824817519,0.8441666666666666,0.9411328125,0.938286214287986,0.8432523051131602,C07|C14
45,disease_area,5,6813,1248,1396,0.5143266475644699,0.8065902578796562,0.9018064765285412,0.911025742957609,0.784,0.7435897435897436,0.8913443309470588,0.8651062335108337,0.6707818930041152,C06|C18
45,disease_area,6,7331,980,1146,0.4598603839441536,0.8979057591623036,0.9672330655124106,0.9623139205065725,0.8845014807502468,0.7122448979591837,0.8969874999999999,0.8788698411031348,0.6126373626373626,C04|C09|C19|F01
45,disease_area,7,7562,882,1013,0.6179664363277394,0.7561697926949654,0.9330394366429732,0.9447144025720814,0.7645376549094375,0.7573696145124716,0.9055350591800413,0.910453094900835,0.7338308457711442,C14
45,disease_area,8,7536,751,1170,0.49230769230769234,0.8384615384615385,0.9503483913206136,0.9453882026408997,0.8191387559808613,0.8655126498002663,0.9483129570134761,0.9586948430831745,0.876376988984088,C15|C23
45,disease_area,9,7002,1292,1163,0.48409286328460877,0.8907996560619088,0.9637211367673181,0.9592139321693934,0.8811973807296539,0.7701238390092879,0.9303431909724521,0.9403420525093856,0.7618283881315155,C04|C09|C11
