seed,split,fold,n_train,n_valid,n_test,test_pos_rate,acc,auroc,aupr,f1,val_acc,val_auroc,val_aupr,val_f1,test_categories
49,disease_area,0,7156,1253,1044,0.5996168582375478,0.7835249042145593,0.9356742131250286,0.945369971285567,0.7907407407407409,0.830806065442937,0.9408074022434882,0.9559054278826034,0.8441176470588236,C14
49,disease_area,1,7397,525,1531,0.5564990202482037,0.8079686479425212,0.9479652831075802,0.952180616597835,0.8029490616621984,0.8438095238095238,0.9524347512853261,0.9716623933483323,0.8722741433021807,A10|C07|C11|C14|C16
49,disease_area,2,7169,1266,1018,0.5343811394891945,0.8113948919449901,0.9325476234797717,0.9361303898095772,0.7995824634655532,0.768562401263823,0.937877622035543,0.9584612670568982,0.7798647633358377,C19|C20|C23|C25
49,disease_area,3,6842,1454,1157,0.4140017286084702,0.8167675021607606,0.9194086746602127,0.8943417019325995,0.7343358395989975,0.8535075653370013,0.9511008334537747,0.9348733812049755,0.8155844155844156,C12|C19
49,disease_area,4,7386,1000,1067,0.5998125585754451,0.8134957825679475,0.9355459601873537,0.9457710763265963,0.8252853380158034,0.861,0.9513479257056501,0.9354111851776243,0.8277571251548946,C09|C14
49,disease_area,5,7418,735,1300,0.5707692307692308,0.7630769230769231,0.9058729192630592,0.9304602223964399,0.7487765089722674,0.8653061224489796,0.9609398678547615,0.9688972512460529,0.8729139922978177,C05|C18
49,disease_area,6,6829,1674,950,0.5052631578947369,0.7189473684210527,0.8963718971631206,0.8855128599052078,0.6491458607095927,0.8225806451612904,0.9369349057362453,0.9265915108371428,0.7836853605243992,C10
49,disease_area,7,6914,1070,1469,0.5262083049693669,0.7556160653505786,0.8838251475814486,0.8888752911384854,0.7197501951600311,0.7794392523364486,0.9137737880726994,0.9284227512652884,0.7892857142857144,A10|C08|C16|C18|C26
49,disease_area,8,7487,1016,950,0.5052631578947369,0.7231578947368421,0.9029255319148937,0.8854934635008009,0.6571056062581486,0.6899606299212598,0.8515403555710657,0.8536741812119446,0.608695652173913,C10
49,disease_area,9,7240,950,1263,0.5779889152810768,0.8709422011084719,0.9536868076794572,0.9647433941390486,0.8833214030064424,0.7252631578947368,0.9090602836879432,0.8934345287006829,0.6579292267365662,C06|C17
