seed,split,fold,n_train,n_valid,n_test,test_pos_rate,acc,auroc,aupr,f1,val_acc,val_auroc,val_aupr,val_f1,test_categories
46,disease_area,0,7325,1039,1089,0.4637281910009183,0.5922865013774105,0.6403940051539402,0.605921830186773,0.41884816753926707,0.6698748796920115,0.7574073250626233,0.7823661959370923,0.5940828402366863,C09|C12|F03
46,disease_area,1,7416,1029,1008,0.621031746031746,0.4652777777777778,0.5459787899570112,0.6795860731918791,0.34188034188034183,0.5471331389698737,0.5042119935759523,0.5061236012141312,0.2360655737704918,C14
46,disease_area,2,6938,1437,1078,0.6567717996289425,0.5333951762523191,0.6636051305542832,0.8098066732897635,0.5102239532619279,0.6631871955462769,0.7266001836419215,0.7359060754247821,0.5877342419080067,C05|C08
46,disease_area,3,7068,1131,1254,0.5382775119617225,0.620414673046252,0.6856982025203096,0.7489294873602892,0.5559701492537314,0.5888594164456233,0.6671911166718799,0.6589476357002348,0.4444444444444444,C01|C11|C17
46,disease_area,4,7272,503,1678,0.4934445768772348,0.6197854588796186,0.6693478260869565,0.6959140079554214,0.4556313993174061,0.5407554671968191,0.7143417366946779,0.8496937467439754,0.5425742574257426,A10|C11|C15|C18|F01
46,disease_area,5,7111,1389,953,0.546694648478489,0.6652675760755509,0.747871792137627,0.7992247351575383,0.6329113924050633,0.7033837293016558,0.7660123988651886,0.7408865548260948,0.6192236598890942,C17|C19
46,disease_area,6,7075,583,1795,0.4935933147632312,0.56991643454039,0.6215633978747762,0.6194048465395599,0.3853503184713376,0.5951972555746141,0.6998980302427379,0.7997844313787204,0.5770609318996416,C09|C10|C18
46,disease_area,7,7478,1008,967,0.4415718717683557,0.6783867631851086,0.6982218752710556,0.6733359371161021,0.5512265512265513,0.5178571428571429,0.5895446866165968,0.7166061003928716,0.4413793103448276,C07|C09|C12|F01
46,disease_area,8,7498,953,1002,0.5199600798403193,0.499001996007984,0.513246156240398,0.53070726079106,0.276657060518732,0.664218258132214,0.7295309945261961,0.7973844249238234,0.6235294117647059,C18|F03
46,disease_area,9,7176,1182,1095,0.589041095890411,0.5178082191780822,0.6122204995693368,0.6910646040525037,0.4067415730337079,0.6522842639593909,0.7289288824715805,0.7384249245653391,0.5418060200668896,C14|C16
