seed,split,fold,n_train,n_valid,n_test,test_pos_rate,acc,auroc,aupr,f1
42,random,0,9481,0,2371,0.5002108814846057,0.8473218051455083,0.9214563721618603,0.9294650687315543,0.8485355648535565
42,random,1,9481,0,2371,0.49978911851539437,0.8460565162378744,0.9099885442682207,0.9141651086050792,0.8464450988641143
42,random,2,9482,0,2370,0.5,0.8350210970464135,0.9101960155957912,0.9176671717779236,0.8332622601279317
42,random,3,9482,0,2370,0.5,0.839240506329114,0.9168762128576262,0.9216077496226839,0.8376651043885812
42,random,4,9482,0,2370,0.5,0.8493670886075949,0.9228506827609535,0.9260339256949589,0.8508148767237778
43,random,0,9481,0,2371,0.5002108814846057,0.8397300716997048,0.9100653901708398,0.9188616869441184,0.8403361344537815
43,random,1,9481,0,2371,0.49978911851539437,0.8477435681147195,0.9216940252310715,0.929684165694829,0.8455284552845529
43,random,2,9482,0,2370,0.5,0.8523206751054853,0.9231868112303939,0.929044628508872,0.8521959459459458
43,random,3,9482,0,2370,0.5,0.8514767932489451,0.9227011340775162,0.9307683804591493,0.8508474576271187
43,random,4,9482,0,2370,0.5,0.8426160337552743,0.9168000142427317,0.9181394338919444,0.8429473684210527
44,random,0,9481,0,2371,0.5002108814846057,0.8443694643610291,0.9185803431027246,0.9243376259954659,0.8430455125478521
44,random,1,9481,0,2371,0.49978911851539437,0.8291859974694222,0.9112031364512846,0.9168121291426853,0.8287526427061311
44,random,2,9482,0,2370,0.5,0.8476793248945148,0.9226954369848137,0.9276481514686185,0.8478718921196798
44,random,3,9482,0,2370,0.5,0.8329113924050633,0.910935925510513,0.9153194399822296,0.8336134453781512
44,random,4,9482,0,2370,0.5,0.8493670886075949,0.9221214548950489,0.9268645510462816,0.8481497235219055
45,random,0,9481,0,2371,0.5002108814846057,0.8443694643610291,0.9121750948121901,0.9143584989878263,0.8434450572761985
45,random,1,9481,0,2371,0.49978911851539437,0.8477435681147195,0.9235682114116166,0.9312271098162102,0.848255569567045
45,random,2,9482,0,2370,0.5,0.8341772151898734,0.9119578415140024,0.921096355559352,0.8314028314028314
45,random,3,9482,0,2370,0.5,0.8379746835443038,0.9164072709145613,0.9271515750384315,0.8365957446808511
45,random,4,9482,0,2370,0.5,0.839240506329114,0.9148562374263384,0.9227824390614587,0.8386277001270648
46,random,0,9481,0,2371,0.5002108814846057,0.8431041754533952,0.9163076966863761,0.9257530294400099,0.8418367346938775
46,random,1,9481,0,2371,0.49978911851539437,0.8380430198228596,0.9163696003301528,0.9208993667145582,0.8398665554628858
46,random,2,9482,0,2370,0.5,0.8379746835443038,0.9092965870854031,0.9194579540659846,0.8374259102455546
46,random,3,9482,0,2370,0.5,0.8367088607594937,0.9080788335202691,0.9171049029902948,0.8352490421455937
46,random,4,9482,0,2370,0.5,0.8345991561181435,0.9071651622781248,0.9071263986800852,0.8330494037478705
47,random,0,9481,0,2371,0.5002108814846057,0.8443694643610291,0.9164044656007856,0.9284270064565081,0.8439746300211416
47,random,1,9481,0,2371,0.49978911851539437,0.8237030788696752,0.9078582050789449,0.9155145863157805,0.8227311280746396
47,random,2,9482,0,2370,0.5,0.8527426160337552,0.9239694493403836,0.9321108594026415,0.8537913699204022
47,random,3,9482,0,2370,0.5,0.8350210970464135,0.9105300076554683,0.915843091015961,0.8343922066920796
47,random,4,9482,0,2370,0.5,0.8472573839662447,0.917625736616283,0.9225874017509362,0.8468697123519457
48,random,0,9481,0,2371,0.5002108814846057,0.8355124420075918,0.9082424345920408,0.9190158846288472,0.8330479452054795
48,random,1,9481,0,2371,0.49978911851539437,0.849852382960776,0.9154588340768884,0.9244929647667459,0.8472103004291847
48,random,2,9482,0,2370,0.5,0.8409282700421941,0.9156353148533889,0.9225712051566661,0.8413967185527976
48,random,3,9482,0,2370,0.5,0.8455696202531645,0.911846748206306,0.9245084534099436,0.8447837150127226
48,random,4,9482,0,2370,0.5,0.8472573839662447,0.9192394381242323,0.9223992400779639,0.8491666666666666
49,random,0,9481,0,2371,0.5002108814846057,0.8346689160691692,0.909947986708505,0.9159726161612628,0.8317596566523605
49,random,1,9481,0,2371,0.49978911851539437,0.8291859974694222,0.914861143723184,0.9227909405931787,0.8286077020736352
49,random,2,9482,0,2370,0.5,0.8468354430379746,0.9247321476259147,0.9278018812811936,0.8491898628998753
49,random,3,9482,0,2370,0.5,0.8426160337552743,0.9136548630027239,0.919954633081781,0.8416135881104034
49,random,4,9482,0,2370,0.5,0.8413502109704641,0.9210204917303139,0.9316184302731613,0.84
50,random,0,9481,0,2371,0.5002108814846057,0.8447912273302404,0.913030361246896,0.9227363385309819,0.8451178451178452
50,random,1,9481,0,2371,0.49978911851539437,0.8388865457612822,0.916986502159512,0.9239113552654519,0.8403010033444814
50,random,2,9482,0,2370,0.5,0.8417721518987342,0.9124086239740782,0.9233527301677595,0.8384317104696252
50,random,3,9482,0,2370,0.5,0.8291139240506329,0.9074443198205416,0.9192806024495062,0.8288973384030417
50,random,4,9482,0,2370,0.5,0.8324894514767932,0.9137866082714665,0.9221020114391564,0.8304143528406663
51,random,0,9481,0,2371,0.5002108814846057,0.8393083087304934,0.9140877039440448,0.9196414276980808,0.8394437420986093
51,random,1,9481,0,2371,0.49978911851539437,0.8460565162378744,0.9199699731750877,0.9266657422765147,0.845404489623041
51,random,2,9482,0,2370,0.5,0.8265822784810126,0.9030824832202817,0.9066312813223887,0.8238319759965709
51,random,3,9482,0,2370,0.5,0.8379746835443038,0.9118552938453596,0.9171698263492434,0.8381112984822934
