seed,split,fold,n_train,n_valid,n_test,test_pos_rate,acc,auroc,aupr,f1
51,random,0,9481,0,2371,0.5002108814846057,0.8393083087304934,0.9140877039440448,0.9196414276980808,0.8394437420986093
51,random,1,9481,0,2371,0.49978911851539437,0.8460565162378744,0.9199699731750877,0.9266657422765147,0.845404489623041
51,random,2,9482,0,2370,0.5,0.8265822784810126,0.9030824832202817,0.9066312813223887,0.8238319759965709
51,random,3,9482,0,2370,0.5,0.8379746835443038,0.9118552938453596,0.9171698263492434,0.8381112984822934
51,random,4,9482,0,2370,0.5,0.8426160337552743,0.9065840588224822,0.9178102650305484,0.8422832980972517
