seed,fold,n_train,n_test,acc,auroc,aupr,f1
42,0,9481,2371,0.8473218051455083,0.9214563721618603,0.9294650687315543,0.8485355648535565
42,1,9481,2371,0.8460565162378744,0.9099885442682207,0.9141651086050792,0.8464450988641143
42,2,9482,2370,0.8350210970464135,0.9101960155957912,0.9176671717779236,0.8332622601279317
42,3,9482,2370,0.839240506329114,0.9168762128576262,0.9216077496226839,0.8376651043885812
42,4,9482,2370,0.8493670886075949,0.9228506827609535,0.9260339256949589,0.8508148767237778
43,0,9481,2371,0.8397300716997048,0.9100653901708398,0.9188616869441184,0.8403361344537815
43,1,9481,2371,0.8477435681147195,0.9216940252310715,0.929684165694829,0.8455284552845529
43,2,9482,2370,0.8523206751054853,0.9231868112303939,0.929044628508872,0.8521959459459458
43,3,9482,2370,0.8514767932489451,0.9227011340775162,0.9307683804591493,0.8508474576271187
43,4,9482,2370,0.8426160337552743,0.9168000142427317,0.9181394338919444,0.8429473684210527
44,0,9481,2371,0.8443694643610291,0.9185803431027246,0.9243376259954659,0.8430455125478521
44,1,9481,2371,0.8291859974694222,0.9112031364512846,0.9168121291426853,0.8287526427061311
44,2,9482,2370,0.8476793248945148,0.9226954369848137,0.9276481514686185,0.8478718921196798
44,3,9482,2370,0.8329113924050633,0.910935925510513,0.9153194399822296,0.8336134453781512
44,4,9482,2370,0.8493670886075949,0.9221214548950489,0.9268645510462816,0.8481497235219055
45,0,9481,2371,0.8443694643610291,0.9121750948121901,0.9143584989878263,0.8434450572761985
45,1,9481,2371,0.8477435681147195,0.9235682114116166,0.9312271098162102,0.848255569567045
45,2,9482,2370,0.8341772151898734,0.9119578415140024,0.921096355559352,0.8314028314028314
45,3,9482,2370,0.8379746835443038,0.9164072709145613,0.9271515750384315,0.8365957446808511
45,4,9482,2370,0.839240506329114,0.9148562374263384,0.9227824390614587,0.8386277001270648
46,0,9481,2371,0.8431041754533952,0.9163076966863761,0.9257530294400099,0.8418367346938775
46,1,9481,2371,0.8380430198228596,0.9163696003301528,0.9208993667145582,0.8398665554628858
46,2,9482,2370,0.8379746835443038,0.9092965870854031,0.9194579540659846,0.8374259102455546
46,3,9482,2370,0.8367088607594937,0.9080788335202691,0.9171049029902948,0.8352490421455937
46,4,9482,2370,0.8345991561181435,0.9071651622781248,0.9071263986800852,0.8330494037478705
47,0,9481,2371,0.8443694643610291,0.9164044656007856,0.9284270064565081,0.8439746300211416
47,1,9481,2371,0.8237030788696752,0.9078582050789449,0.9155145863157805,0.8227311280746396
47,2,9482,2370,0.8527426160337552,0.9239694493403836,0.9321108594026415,0.8537913699204022
47,3,9482,2370,0.8350210970464135,0.9105300076554683,0.915843091015961,0.8343922066920796
47,4,9482,2370,0.8472573839662447,0.917625736616283,0.9225874017509362,0.8468697123519457
