seed,split,fold,n_train,n_valid,n_test,test_pos_rate,acc,auroc,aupr,f1
43,random,0,9481,0,2371,0.5002108814846057,0.8397300716997048,0.9100653901708398,0.9188616869441184,0.8403361344537815
43,random,1,9481,0,2371,0.49978911851539437,0.8477435681147195,0.9216940252310715,0.929684165694829,0.8455284552845529
43,random,2,9482,0,2370,0.5,0.8523206751054853,0.9231868112303939,0.929044628508872,0.8521959459459458
43,random,3,9482,0,2370,0.5,0.8514767932489451,0.9227011340775162,0.9307683804591493,0.8508474576271187
43,random,4,9482,0,2370,0.5,0.8426160337552743,0.9168000142427317,0.9181394338919444,0.8429473684210527
